#chrom	chromStart	chromEnd	name	gieStain
chr2	173534541	181976762	qH4	gpos33
chr3	0	18521769	qA1	gpos100
chr3	18521769	20471428	qA2	gneg
chr3	20471428	35581293	qA3	gpos66
chr3	35581293	46791837	qB	gneg
chr3	46791837	56540137	qC	gpos100
chr3	56540137	60926871	qD	gneg
chr3	60926871	69700341	qE1	gpos33
chr3	69700341	72624831	qE2	gneg
chr3	72624831	83835375	qE3	gpos100
chr3	83835375	93096260	qF1	gneg
chr3	93096260	97482995	qF2.1	gpos33
chr3	97482995	106256464	qF2.2	gneg
chr3	106256464	108206124	qF2.3	gpos33
chr3	108206124	115029934	qF3	gneg
chr3	115029934	126727893	qG1	gpos100
chr3	126727893	128677553	qG2	gneg
chr3	128677553	138425853	qG3	gpos66
chr3	138425853	143787417	qH1	gneg
chr3	143787417	148174152	qH2	gpos33
chr3	148174152	154023132	qH3	gneg
chr3	154023132	159872112	qH4	gpos33
chr4	0	14742088	qA1	gpos100
chr4	14742088	17595395	qA2	gneg
chr4	17595395	28057522	qA3	gpos100
chr4	28057522	29959727	qA4	gneg
chr4	29959727	43275161	qA5	gpos66
chr4	43275161	51359532	qB1	gneg
chr4	51359532	54688391	qB2	gpos33
chr4	54688391	62772762	qB3	gneg
chr4	62772762	68954928	qC1	gpos33
chr4	68954928	71332684	qC2	gneg
chr4	71332684	83221465	qC3	gpos100
chr4	83221465	88928080	qC4	gneg
chr4	88928080	96536899	qC5	gpos66
chr4	96536899	104621270	qC6	gneg
chr4	104621270	109852334	qC7	gpos66
chr4	109852334	116510051	qD1	gneg
chr4	116510051	119363358	qD2.1	gpos33
chr4	119363358	129825485	qD2.2	gneg
chr4	129825485	132678793	qD2.3	gpos33
chr4	132678793	140287612	qD3	gneg
chr4	140287612	146469778	qE1	gpos100
chr4	146469778	155029701	qE2	gneg
chr5	0	14911692	qA1	gpos100
chr5	14911692	16354759	qA2	gneg
chr5	16354759	25494184	qA3	gpos66
chr5	25494184	33671564	qB1	gneg
chr5	33671564	35595653	qB2	gpos33
chr5	35595653	50507346	qB3	gneg
chr5	50507346	58684726	qC1	gpos33
chr5	58684726	61089838	qC2	gneg
chr5	61089838	71672330	qC3.1	gpos100
chr5	71672330	73596419	qC3.2	gneg
chr5	73596419	77925620	qC3.3	gpos66
chr5	77925620	81773799	qD	gneg
chr5	81773799	91394246	qE1	gpos100
chr5	91394246	93799358	qE2	gneg
chr5	93799358	99571626	qE3	gpos33
chr5	99571626	101976738	qE4	gneg
chr5	101976738	107749006	qE5	gpos33
chr5	107749006	125065811	qF	gneg
chr5	125065811	126989900	qG1.1	gpos33
chr5	126989900	127951945	qG1.2	gneg
chr5	127951945	130838079	qG1.3	gpos33
chr5	130838079	146230794	qG2	gneg
chr5	146230794	152003063	qG3	gpos33
chr6	0	16613965	qA1	gpos100
chr6	16613965	21500425	qA2	gneg
chr6	21500425	27364177	qA3.1	gpos100
chr6	27364177	28341469	qA3.2	gneg
chr6	28341469	34205222	qA3.3	gpos100
chr6	34205222	41534912	qB1	gneg
chr6	41534912	44466788	qB2.1	gpos66
chr6	44466788	45932726	qB2.2	gneg
chr6	45932726	50819187	qB2.3	gpos66
chr6	50819187	62546691	qB3	gneg
chr6	62546691	74274196	qC1	gpos100
chr6	74274196	76717426	qC2	gneg
chr6	76717426	86001701	qC3	gpos66
chr6	86001701	94308683	qD1	gneg
chr6	94308683	95774621	qD2	gpos33
chr6	95774621	103104312	qD3	gneg
chr6	103104312	108479418	qE1	gpos100
chr6	108479418	109456710	qE2	gneg
chr6	109456710	116786401	qE3	gpos100
chr6	116786401	122650153	qF1	gneg
chr6	122650153	125093383	qF2	gpos33
chr6	125093383	131934427	qF3	gneg
chr6	131934427	139264118	qG1	gpos66
chr6	139264118	142684640	qG2	gneg
chr6	142684640	149525685	qG3	gpos33
chr7	0	15170811	qA1	gpos100
chr7	15170811	18204973	qA2	gneg
chr7	18204973	28318847	qA3	gpos33
chr7	28318847	34387172	qB1	gneg
chr7	34387172	37421334	qB2	gpos33
chr7	37421334	47535208	qB3	gneg
chr7	47535208	54109226	qB4	gpos33
chr7	54109226	60683244	qB5	gneg
chr7	60683244	71302812	qC	gpos100
chr7	71302812	76865443	qD1	gneg
chr7	76865443	80405299	qD2	gpos66
chr7	80405299	90013479	qD3	gneg
chr7	90013479	99621660	qE1	gpos100
chr7	99621660	102150128	qE2	gneg
chr7	102150128	111252615	qE3	gpos33
chr7	111252615	118332327	qF1	gneg
chr7	118332327	122883570	qF2	gpos33
chr7	122883570	137042994	qF3	gneg
chr7	137042994	140582850	qF4	gpos33
chr7	140582850	145134094	qF5	gneg
chr8	0	16271352	qA1.1	gpos100
chr8	16271352	17228491	qA1.2	gneg
chr8	17228491	20578475	qA1.3	gpos33
chr8	20578475	30149859	qA2	gneg
chr8	30149859	34456982	qA3	gpos33
chr8	34456982	44985504	qA4	gneg
chr8	44985504	49292627	qB1.1	gpos66
chr8	49292627	51206903	qB1.2	gneg
chr8	51206903	56949734	qB1.3	gpos66
chr8	56949734	60778287	qB2	gneg
chr8	60778287	68435394	qB3.1	gpos100
chr8	68435394	69392533	qB3.2	gneg
chr8	69392533	76092502	qB3.3	gpos100
chr8	76092502	81835332	qC1	gneg
chr8	81835332	86621024	qC2	gpos33
chr8	86621024	91885285	qC3	gneg
chr8	91885285	93320993	qC4	gpos33
chr8	93320993	97628115	qC5	gneg
chr8	97628115	105285223	qD1	gpos100
chr8	105285223	106242361	qD2	gneg
chr8	106242361	112942330	qD3	gpos33
chr8	112942330	126342267	qE1	gneg
chr8	126342267	132085098	qE2	gpos33
chr9	0	14343360	qA1	gpos100
chr9	14343360	19432940	qA2	gneg
chr9	19432940	24059831	qA3	gpos33
chr9	24059831	37940503	qA4	gneg
chr9	37940503	43955461	qA5.1	gpos66
chr9	43955461	46268906	qA5.2	gneg
chr9	46268906	54597309	qA5.3	gpos66
chr9	54597309	62925712	qB	gneg
chr9	62925712	69403359	qC	gpos33
chr9	69403359	77269073	qD	gneg
chr9	77269073	82358653	qE1	gpos33
chr9	82358653	84209409	qE2	gneg
chr9	84209409	90687056	qE3.1	gpos100
chr9	90687056	91149745	qE3.2	gneg
chr9	91149745	100403526	qE3.3	gpos100
chr9	100403526	101328904	qE4	gpos66
chr9	101328904	107806551	qF1	gneg
chr9	107806551	110582686	qF2	gpos33
chr9	110582686	119373778	qF3	gneg
chr9	119373778	124000669	qF4	gpos33
chrX	0	15267455	qA1.1	gpos100
chrX	15267455	17652995	qA1.2	gneg
chrX	17652995	20515643	qA1.3	gpos33
chrX	20515643	27195154	qA2	gneg
chrX	27195154	32443342	qA3.1	gpos66
chrX	32443342	33397558	qA3.2	gneg
chrX	33397558	38645746	qA3.3	gpos66
chrX	38645746	46279474	qA4	gneg
chrX	46279474	54390309	qA5	gpos66
chrX	54390309	61069821	qA6	gneg
chrX	61069821	67272225	qA7.1	gpos66
chrX	67272225	68703549	qA7.2	gneg
chrX	68703549	74905952	qA7.3	gpos66
chrX	74905952	79677032	qB	gneg
chrX	79677032	88264976	qC1	gpos100
chrX	88264976	89219192	qC2	gneg
chrX	89219192	97807135	qC3	gpos100
chrX	97807135	106395079	qD	gneg
chrX	106395079	116414347	qE1	gpos100
chrX	116414347	117368563	qE2	gneg
chrX	117368563	130727586	qE3	gpos100
chrX	130727586	136929990	qF1	gneg
chrX	136929990	144086609	qF2	gpos33
chrX	144086609	151243229	qF3	gneg
chrX	151243229	158399849	qF4	gpos33
chrX	158399849	165556469	qF5	gneg
chrY	0	614115	qA1	gpos100
chrY	614115	972350	qA2	gpos66
chrY	972350	1347643	qB	gpos33
chrY	1347643	1620583	qC1	gpos100
chrY	1620583	1842347	qC2	gpos33
chrY	1842347	2149405	qC3	gpos100
chrY	2149405	2473522	qD	gpos33
chrY	2473522	2729404	qE	gpos66
chr10	0	12750708	qA1	gpos100
chr10	12750708	17654827	qA2	gneg
chr10	17654827	23539770	qA3	gpos33
chr10	23539770	33348007	qA4	gneg
chr10	33348007	41194597	qB1	gpos100
chr10	41194597	48060364	qB2	gneg
chr10	48060364	55906954	qB3	gpos100
chr10	55906954	63753544	qB4	gneg
chr10	63753544	67676839	qB5.1	gpos100
chr10	67676839	68167251	qB5.2	gneg
chr10	68167251	74542605	qB5.3	gpos100
chr10	74542605	88764550	qC1	gneg
chr10	88764550	95630316	qC2	gpos33
chr10	95630316	98572787	qC3	gneg
chr10	98572787	111323496	qD1	gpos100
chr10	111323496	124074205	qD2	gneg
chr10	124074205	129959148	qD3	gpos33
chr11	0	13016647	qA1	gpos100
chr11	13016647	17200570	qA2	gneg
chr11	17200570	21849372	qA3.1	gpos100
chr11	21849372	25568415	qA3.2	gneg
chr11	25568415	30217217	qA3.3	gpos100
chr11	30217217	36260661	qA4	gneg
chr11	36260661	43233865	qA5	gpos100
chr11	43233865	47882668	qB1.1	gneg
chr11	47882668	49742189	qB1.2	gpos33
chr11	49742189	59969555	qB1.3	gneg
chr11	59969555	62758837	qB2	gpos33
chr11	62758837	70661801	qB3	gneg
chr11	70661801	73915963	qB4	gpos33
chr11	73915963	81818928	qB5	gneg
chr11	81818928	90186773	qC	gpos100
chr11	90186773	102273660	qD	gneg
chr11	102273660	110176625	qE1	gpos66
chr11	110176625	121798632	qE2	gneg
chr12	0	17650279	qA1.1	gpos100
chr12	17650279	21180335	qA1.2	gneg
chr12	21180335	26034162	qA1.3	gpos66
chr12	26034162	31770503	qA2	gneg
chr12	31770503	39271872	qA3	gpos33
chr12	39271872	44125699	qB1	gneg
chr12	44125699	45008213	qB2	gpos33
chr12	45008213	52068325	qB3	gneg
chr12	52068325	66188548	qC1	gpos100
chr12	66188548	71483632	qC2	gneg
chr12	71483632	81191286	qC3	gpos100
chr12	81191286	85603856	qD1	gneg
chr12	85603856	88692655	qD2	gpos33
chr12	88692655	95752767	qD3	gneg
chr12	95752767	106342935	qE	gpos100
chr12	106342935	114726818	qF1	gneg
chr12	114726818	120463159	qF2	gpos66
chr13	0	16312600	qA1	gpos100
chr13	16312600	21255812	qA2	gneg
chr13	21255812	29659273	qA3.1	gpos66
chr13	29659273	33119521	qA3.2	gneg
chr13	33119521	41522982	qA3.3	gpos33
chr13	41522982	44488909	qA4	gneg
chr13	44488909	52892370	qA5	gpos33
chr13	52892370	59318546	qB1	gneg
chr13	59318546	61790152	qB2	gpos33
chr13	61790152	69699292	qB3	gneg
chr13	69699292	78597074	qC1	gpos33
chr13	78597074	81068680	qC2	gneg
chr13	81068680	94909674	qC3	gpos100
chr13	94909674	106773383	qD1	gneg
chr13	106773383	110727953	qD2.1	gpos33
chr13	110727953	116659808	qD2.2	gneg
chr13	116659808	120614378	qD2.3	gpos33
chr14	0	14877464	qA1	gpos100
chr14	14877464	19340703	qA2	gneg
chr14	19340703	29754928	qA3	gpos33
chr14	29754928	43144646	qB	gneg
chr14	43144646	51575209	qC1	gpos100
chr14	51575209	54550702	qC2	gneg
chr14	54550702	59509857	qC3	gpos66
chr14	59509857	68436336	qD1	gneg
chr14	68436336	72403660	qD2	gpos33
chr14	72403660	84305631	qD3	gneg
chr14	84305631	88272955	qE1	gpos66
chr14	88272955	98191265	qE2.1	gpos100
chr14	98191265	99183096	qE2.2	gneg
chr14	99183096	106621828	qE2.3	gpos100
chr14	106621828	110093236	qE3	gneg
chr14	110093236	120011546	qE4	gpos100
chr14	120011546	123978870	qE5	gneg
chr15	0	16412919	qA1	gpos100
chr15	16412919	24163465	qA2	gneg
chr15	24163465	29634438	qB1	gpos33
chr15	29634438	31914010	qB2	gneg
chr15	31914010	42855956	qB3.1	gpos100
chr15	42855956	44679614	qB3.2	gneg
chr15	44679614	49694673	qB3.3	gpos66
chr15	49694673	53341989	qC	gneg
chr15	53341989	66107593	qD1	gpos100
chr15	66107593	68387165	qD2	gneg
chr15	68387165	77049539	qD3	gpos66
chr15	77049539	83432341	qE1	gneg
chr15	83432341	86623742	qE2	gpos33
chr15	86623742	95286117	qE3	gneg
chr15	95286117	100757090	qF1	gpos66
chr15	100757090	101668919	qF2	gneg
chr15	101668919	103492577	qF3	gpos33
chr16	0	15439672	qA1	gpos100
chr16	15439672	16375409	qA2	gneg
chr16	16375409	20586229	qA3	gpos33
chr16	20586229	26200655	qB1	gneg
chr16	26200655	32282950	qB2	gpos33
chr16	32282950	38365245	qB3	gneg
chr16	38365245	44915409	qB4	gpos33
chr16	44915409	53804918	qB5	gneg
chr16	53804918	58015737	qC1.1	gpos66
chr16	58015737	58951475	qC1.2	gneg
chr16	58951475	66905245	qC1.3	gpos66
chr16	66905245	70648196	qC2	gneg
chr16	70648196	79069836	qC3.1	gpos100
chr16	79069836	79537704	qC3.2	gneg
chr16	79537704	91702295	qC3.3	gpos100
chr16	91702295	98252459	qC4	gneg
chr17	0	13970997	qA1	gpos100
chr17	13970997	16153965	qA2	gneg
chr17	16153965	17463746	qA3.1	gpos33
chr17	17463746	21829683	qA3.2	gneg
chr17	21829683	31434744	qA3.3	gpos66
chr17	31434744	40166617	qB1	gneg
chr17	40166617	41476398	qB2	gpos33
chr17	41476398	45842335	qB3	gneg
chr17	45842335	55883989	qC	gpos66
chr17	55883989	60249926	qD	gneg
chr17	60249926	68108612	qE1.1	gpos100
chr17	68108612	68981799	qE1.2	gneg
chr17	68981799	73347736	qE1.3	gpos100
chr17	73347736	78586860	qE2	gneg
chr17	78586860	82952797	qE3	gpos33
chr17	82952797	89065108	qE4	gneg
chr17	89065108	95177420	qE5	gpos33
chr18	0	19413462	qA1	gpos100
chr18	19413462	29542226	qA2	gneg
chr18	29542226	35450671	qB1	gpos66
chr18	35450671	37138798	qB2	gneg
chr18	37138798	45579434	qB3	gpos100
chr18	45579434	49799752	qC	gneg
chr18	49799752	54020070	qD1	gpos100
chr18	54020070	54442102	qD2	gneg
chr18	54442102	60772579	qD3	gpos100
chr18	60772579	67947119	qE1	gneg
chr18	67947119	75121660	qE2	gpos33
chr18	75121660	83562296	qE3	gneg
chr18	83562296	90736837	qE4	gpos33
chr19	0	16650124	qA	gpos100
chr19	16650124	25584337	qB	gneg
chr19	25584337	34924651	qC1	gpos66
chr19	34924651	38173456	qC2	gneg
chr19	38173456	47513769	qC3	gpos66
chr19	47513769	51574775	qD1	gneg
chr19	51574775	58884586	qD2	gpos33
chr19	58884586	61321190	qD3	gneg
